CustomerNumber,CustomerName,Country,State,City,PlantName,MaterialNumber,BusinessLine,Category,SalesDate,SalesOrder,Volume,Revenue
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-07-18 00:00:00,32316750,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-07-25 00:00:00,32316784,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-08-05 00:00:00,32338382,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-08-13 00:00:00,32338434,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-08-22 00:00:00,32338481,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-08-29 00:00:00,32338526,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-09-12 00:00:00,32358333,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-09-24 00:00:00,32358381,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-09-30 00:00:00,32358408,450,799.33
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-10-10 00:00:00,32381487,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-10-18 00:00:00,32381530,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-10-25 00:00:00,32381562,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-10-31 00:00:00,32381577,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-11-20 00:00:00,32400495,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-12-06 00:00:00,32419347,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2019-12-13 00:00:00,32419369,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-01-02 00:00:00,32441161,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-01-24 00:00:00,32441241,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-02-07 00:00:00,32461169,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-02-14 00:00:00,32461195,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-02-21 00:00:00,32461219,450,845.29
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-03-16 00:00:00,32482191,450,847.19
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-03-26 00:00:00,32482245,450,847.19
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-04-03 00:00:00,32499044,450,847.19
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-04-16 00:00:00,32499081,450,846.59
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-05-01 00:00:00,32514867,450,846.59
2431,CUSTOMER 2431,BR,BA,Alagoinhas,Itapuã,BL01-CA04-1088,Lubrificantes,CA04,2020-05-14 00:00:00,32514913,450,845.99
